concurso;data;b1;b2;b3;b4;b5;b6
2578;29/03/2023;47;59;60;37;50;39
2577;25/03/2023;31;44;22;12;50;18
2576;22/03/2023;32;29;43;35;38;33
2575;18/03/2023;46;4;53;14;12;41
2574;16/03/2023;12;43;48;60;44;17
2573;14/03/2023;37;6;49;26;32;35
2572;11/03/2023;24;22;3;15;7;50
2571;08/03/2023;18;51;38;33;9;41
2570;04/03/2023;18;26;27;47;50;8
2569;01/03/2023;6;7;28;31;25;52
2568;25/02/2023;22;29;49;35;16;38
2567;23/02/2023;33;10;60;58;11;19
2566;18/02/2023;53;23;45;57;11;59
2565;16/02/2023;54;13;25;39;9;46
2564;14/02/2023;19;14;8;45;32;7
2563;11/02/2023;5;50;30;14;9;38
2562;08/02/2023;44;32;57;12;51;6
2561;04/02/2023;22;44;56;51;37;19
2560;01/02/2023;52;48;5;20;17;4
2559;28/01/2023;12;32;35;20;9;30
2558;25/01/2023;10;25;34;2;18;44
2557;21/01/2023;13;3;27;25;16;33
2556;18/01/2023;34;10;14;2;6;56
2555;14/01/2023;45;58;3;20;52;53
2554;12/01/2023;43;19;25;44;48;49
2553;10/01/2023;58;54;15;55;13;53
2552;07/01/2023;24;38;41;5;33;25
2551;04/01/2023;25;43;46;48;1;29
2550;31/12/2022;59;34;4;58;10;5
2549;17/12/2022;30;10;33;1;6;35
2548;14/12/2022;25;23;29;30;9;15
2547;10/12/2022;37;10;38;25;31;57
2546;07/12/2022;34;3;48;28;23;38
2545;03/12/2022;57;36;32;39;20;23
2544;30/11/2022;25;56;55;38;45;53
2543;26/11/2022;46;5;53;2;27;30
2542;24/11/2022;25;22;12;26;55;20
2541;22/11/2022;47;45;28;59;10;57
2540;19/11/2022;28;8;49;34;41;2
2539;16/11/2022;59;36;23;1;33;32
2538;12/11/2022;33;15;6;52;20;19
2537;09/11/2022;24;26;48;37;12;31
2536;05/11/2022;45;9;27;30;33;22
2535;03/11/2022;24;56;1;3;51;37
2534;29/10/2022;36;56;60;28;44;39
2533;26/10/2022;53;20;17;37;45;18
2532;22/10/2022;17;14;30;10;18;23
2531;20/10/2022;18;56;1;5;49;55
2530;18/10/2022;14;28;17;18;30;44
2529;15/10/2022;5;57;56;59;32;3
2528;13/10/2022;15;60;22;53;56;4
2527;08/10/2022;48;56;19;38;29;8
2526;05/10/2022;2;59;24;38;16;43
2525;01/10/2022;51;47;21;26;13;4
2524;28/09/2022;22;37;3;41;43;20
2523;24/09/2022;37;45;1;27;10;36
2522;21/09/2022;32;4;25;39;40;5
2521;17/09/2022;59;23;28;55;33;38
2520;15/09/2022;22;41;2;17;60;58
2519;13/09/2022;20;8;3;36;57;38
2518;10/09/2022;22;23;44;3;60;53
2517;08/09/2022;6;1;22;16;5;39
2516;03/09/2022;49;17;53;51;8;52
2515;31/08/2022;54;3;41;12;45;19
2514;27/08/2022;5;15;52;34;45;24
2513;24/08/2022;50;21;13;46;35;19
2512;20/08/2022;47;52;10;49;34;7
2511;17/08/2022;49;39;4;15;41;10
2510;13/08/2022;25;32;13;57;8;44
2509;10/08/2022;50;8;37;59;39;60
2508;06/08/2022;51;45;41;53;58;48
2507;04/08/2022;4;34;6;35;12;53
2506;02/08/2022;21;44;40;34;22;29
2505;30/07/2022;43;26;5;51;3;19
2504;27/07/2022;42;14;41;55;44;33
2503;23/07/2022;45;43;14;16;38;3
2502;20/07/2022;39;21;16;44;20;55
2501;16/07/2022;58;32;11;27;59;40
2500;13/07/2022;32;55;25;16;5;39
2499;09/07/2022;38;11;56;59;47;19
2498;06/07/2022;26;47;9;29;46;12
2497;02/07/2022;14;5;48;52;46;23
2496;30/06/2022;46;31;26;58;38;7
2495;28/06/2022;33;41;8;12;30;14
2494;25/06/2022;22;1;54;4;10;53
2493;22/06/2022;44;4;56;9;37;43
2492;18/06/2022;33;10;52;31;42;30
2491;15/06/2022;53;48;29;43;38;22
2490;11/06/2022;11;16;41;17;46;59
2489;08/06/2022;13;10;41;25;42;3
2488;04/06/2022;40;34;57;31;17;56
2487;02/06/2022;54;42;48;36;23;58
2486;31/05/2022;19;8;9;33;17;56
2485;28/05/2022;60;12;38;47;5;32
2484;25/05/2022;59;36;41;54;14;11
2483;21/05/2022;54;49;34;38;40;20
2482;18/05/2022;32;1;57;44;35;45
2481;14/05/2022;1;37;36;21;8;27
2480;11/05/2022;31;56;6;4;50;9
2479;07/05/2022;21;10;35;20;17;15
2478;04/05/2022;2;23;28;46;17;39
2477;30/04/2022;20;49;33;37;50;38
2476;28/04/2022;46;49;2;55;7;32
2475;26/04/2022;60;45;1;44;58;40
2474;23/04/2022;38;30;22;49;56;39
2473;20/04/2022;55;15;28;60;42;18
2472;16/04/2022;18;5;13;23;36;35
2471;13/04/2022;30;8;23;29;55;36
2470;09/04/2022;51;8;48;42;33;40
2469;06/04/2022;5;55;38;30;28;52
2468;02/04/2022;22;41;53;42;35;57
2467;30/03/2022;1;10;45;19;35;34
2466;26/03/2022;54;53;20;2;13;3
2465;23/03/2022;29;54;53;8;3;23
2464;19/03/2022;2;43;7;52;24;56
2463;16/03/2022;11;31;16;42;51;37
2462;12/03/2022;3;16;57;23;45;41
2461;09/03/2022;37;32;21;11;16;8
2460;05/03/2022;35;18;28;17;16;47
2459;03/03/2022;33;49;15;59;24;53
2458;26/02/2022;44;47;15;40;51;45
2457;24/02/2022;50;49;19;47;10;46
2456;22/02/2022;52;41;28;55;40;34
2455;19/02/2022;59;53;38;21;50;56
2454;16/02/2022;14;44;22;9;24;47
2453;12/02/2022;44;24;10;34;14;15
2452;09/02/2022;56;57;8;10;51;58
2451;05/02/2022;13;51;26;60;31;46
2450;02/02/2022;17;39;11;6;15;2
2449;29/01/2022;14;49;52;31;20;21
2448;27/01/2022;32;48;30;40;35;18
2447;25/01/2022;52;13;19;42;49;29
2446;22/01/2022;13;58;51;27;1;41
2445;19/01/2022;25;32;47;11;37;56
2444;15/01/2022;17;43;20;35;37;15
2443;12/01/2022;31;1;12;13;5;17
2442;08/01/2022;49;9;7;2;41;25
2441;05/01/2022;42;9;41;54;46;47
2440;31/12/2021;46;32;15;12;23;33
2439;18/12/2021;47;38;2;34;51;8
2438;15/12/2021;37;11;55;25;4;19
2437;11/12/2021;41;19;55;1;46;48
2436;09/12/2021;38;54;32;15;5;28
2435;07/12/2021;32;30;36;33;22;5
2434;04/12/2021;28;14;40;2;51;1
2433;01/12/2021;8;53;9;57;32;52
2432;27/11/2021;52;44;29;38;7;40
2431;24/11/2021;11;36;26;25;8;22
2430;20/11/2021;26;19;46;56;45;39
2429;17/11/2021;60;11;56;37;53;55
