Concurso,Data,b1,b2,b3,b4,b5
6461,08/06/2024,69,57,49,64,47
6460,07/06/2024,51,60,37,61,77
6459,06/06/2024,10,77,13,75,9
6458,05/06/2024,54,22,62,13,58
6457,04/06/2024,11,10,16,67,72
6456,03/06/2024,35,63,76,59,18
6455,01/06/2024,4,66,62,21,68
6454,31/05/2024,18,66,16,57,49
6453,29/05/2024,53,32,64,10,29
6452,28/05/2024,27,68,53,38,49
6451,27/05/2024,12,23,71,36,51
6450,25/05/2024,43,7,63,5,31
6449,24/05/2024,49,57,23,11,12
6448,23/05/2024,5,41,65,39,18
6447,22/05/2024,54,57,3,61,75
6446,21/05/2024,64,43,69,54,22
6445,20/05/2024,43,50,48,52,56
6444,18/05/2024,48,33,58,76,60
6443,17/05/2024,48,31,30,4,72
6442,16/05/2024,50,33,26,31,78
6441,15/05/2024,75,22,77,11,16
6440,14/05/2024,73,15,32,61,4
6439,13/05/2024,62,80,64,3,31
6438,11/05/2024,52,44,9,75,24
6437,10/05/2024,50,76,3,15,60
6436,09/05/2024,17,44,34,20,46
6435,08/05/2024,9,58,56,4,48
6434,07/05/2024,7,74,40,68,21
6433,06/05/2024,77,39,11,4,63
6432,04/05/2024,55,24,60,12,10
6431,03/05/2024,67,57,51,30,70
6430,02/05/2024,79,47,18,72,62
6429,30/04/2024,21,25,65,78,72
6428,29/04/2024,31,25,76,39,49
6427,27/04/2024,79,46,14,59,50
6426,26/04/2024,34,28,66,19,44
6425,25/04/2024,66,53,7,33,4
6424,24/04/2024,4,34,39,55,24
6423,23/04/2024,24,71,68,25,32
6422,22/04/2024,79,70,41,31,38
6421,20/04/2024,78,1,38,3,63
6420,19/04/2024,73,46,63,65,7
6419,18/04/2024,10,50,51,24,79
6418,17/04/2024,30,68,49,70,16
6417,16/04/2024,53,49,22,64,19
6416,15/04/2024,26,9,76,64,58
6415,13/04/2024,62,55,40,80,78
6414,12/04/2024,35,58,34,74,4
6413,11/04/2024,79,3,78,69,26
6412,10/04/2024,11,36,1,59,22
6411,09/04/2024,48,42,60,23,57
6410,08/04/2024,55,52,51,14,70
6409,06/04/2024,25,35,73,24,44
6408,05/04/2024,18,75,78,52,51
6407,04/04/2024,67,15,7,4,70
6406,03/04/2024,29,26,20,31,40
6405,02/04/2024,74,57,67,60,39
6404,01/04/2024,69,25,52,76,47
6403,30/03/2024,55,17,43,53,68
6402,28/03/2024,3,49,66,67,70
6401,27/03/2024,24,32,5,9,1
6400,26/03/2024,58,69,72,6,24
6399,25/03/2024,33,41,49,38,48
6398,23/03/2024,18,33,30,14,22
6397,22/03/2024,49,61,24,31,54
6396,21/03/2024,59,65,26,5,9
6395,20/03/2024,27,51,35,78,14
6394,19/03/2024,60,70,63,62,39
6393,18/03/2024,19,9,20,40,74
6392,16/03/2024,41,25,80,10,74
6391,15/03/2024,46,23,65,30,59
6390,14/03/2024,38,61,21,52,67
6389,13/03/2024,75,8,16,63,17
6388,12/03/2024,61,15,56,24,26
6387,11/03/2024,11,43,34,6,36
6386,09/03/2024,64,6,48,80,34
6385,08/03/2024,7,47,70,53,45
6384,07/03/2024,27,58,52,39,75
6383,06/03/2024,21,80,51,59,50
6382,05/03/2024,20,69,78,52,45
6381,04/03/2024,62,18,41,6,22
6380,02/03/2024,46,45,50,44,32
6379,01/03/2024,56,26,66,54,24
6378,29/02/2024,29,60,74,56,40
6377,28/02/2024,62,21,44,25,9
6376,27/02/2024,69,25,3,37,31
6375,26/02/2024,4,60,44,55,34
6374,24/02/2024,13,53,28,19,4
6373,23/02/2024,6,77,62,2,13
6372,22/02/2024,37,11,72,1,42
6371,21/02/2024,45,39,6,44,36
6370,20/02/2024,51,12,6,7,23
6369,19/02/2024,13,67,55,21,39
6368,17/02/2024,52,72,26,3,35
6367,16/02/2024,42,75,2,53,72
6366,15/02/2024,79,67,56,72,32
6365,14/02/2024,4,40,54,19,73
6364,10/02/2024,60,3,51,41,42
6363,09/02/2024,58,35,79,62,16
6362,08/02/2024,35,65,8,53,70
6361,07/02/2024,16,18,30,71,36
6360,06/02/2024,43,54,40,77,16
6359,05/02/2024,43,39,59,80,26
6358,03/02/2024,46,52,4,48,11
6357,02/02/2024,54,56,52,58,50
6356,01/02/2024,50,77,18,9,75
6355,31/01/2024,10,3,1,22,69
6354,30/01/2024,11,18,40,33,66
6353,29/01/2024,35,61,43,4,74
6352,27/01/2024,57,5,22,29,54
6351,26/01/2024,39,35,33,80,46
6350,25/01/2024,28,31,26,44,30
6349,24/01/2024,38,73,78,80,60
6348,23/01/2024,1,3,45,7,26
6347,22/01/2024,22,75,74,62,29
6346,20/01/2024,13,42,27,61,28
6345,19/01/2024,66,23,67,5,21
6344,18/01/2024,35,19,15,13,79
6343,17/01/2024,50,58,42,33,4
6342,16/01/2024,42,16,13,25,41
6341,15/01/2024,69,16,64,12,52
6340,13/01/2024,55,72,18,65,56
6339,12/01/2024,61,21,62,41,46
6338,11/01/2024,49,7,75,21,10
6337,10/01/2024,30,25,41,53,35
6336,09/01/2024,31,49,47,45,4
6335,08/01/2024,62,39,48,44,64
6334,06/01/2024,55,62,9,36,59
6333,05/01/2024,9,76,13,48,74
6332,04/01/2024,64,27,77,11,19
6331,03/01/2024,76,42,64,79,40
6330,02/01/2024,15,23,61,74,29
6329,30/12/2023,18,43,15,61,6
6328,29/12/2023,13,72,9,68,51
6327,28/12/2023,14,68,9,12,31
6326,27/12/2023,45,35,64,65,32
6325,26/12/2023,59,35,4,47,52
6324,23/12/2023,38,71,22,12,44
6323,22/12/2023,6,66,33,71,15
6322,21/12/2023,17,64,61,60,21
6321,20/12/2023,27,26,67,79,2
6320,19/12/2023,14,73,57,46,28
6319,18/12/2023,15,55,54,16,64
6318,16/12/2023,1,45,56,73,37
6317,15/12/2023,29,55,19,75,47
6316,14/12/2023,35,70,71,44,54
6315,13/12/2023,26,48,27,31,6
6314,12/12/2023,50,14,63,70,65
6313,11/12/2023,40,45,64,30,57
6312,09/12/2023,45,23,37,32,63
6311,08/12/2023,76,47,18,58,44
6310,07/12/2023,25,24,34,8,61
6309,06/12/2023,39,36,80,53,15
6308,05/12/2023,78,30,42,50,28
6307,04/12/2023,8,75,34,59,4
6306,02/12/2023,62,74,68,56,66
6305,01/12/2023,4,25,29,49,16
6304,30/11/2023,51,32,67,27,30
6303,29/11/2023,11,54,8,44,68
6302,28/11/2023,65,17,51,40,71
6301,27/11/2023,57,19,23,62,37
6300,25/11/2023,6,29,3,9,76
6299,24/11/2023,53,73,72,66,43
6298,23/11/2023,68,59,55,14,12
6297,22/11/2023,14,46,33,10,63
6296,21/11/2023,46,4,5,36,9
6295,20/11/2023,56,45,69,16,70
6294,18/11/2023,45,62,30,78,58
6293,17/11/2023,59,48,20,29,12
6292,16/11/2023,9,30,5,69,17
6291,14/11/2023,22,6,45,20,47
6290,13/11/2023,15,11,78,52,58
6289,11/11/2023,10,31,54,42,79
6288,10/11/2023,77,56,75,26,52
6287,09/11/2023,41,77,11,38,37
6286,08/11/2023,38,26,20,11,73
6285,07/11/2023,50,7,58,55,17
6284,06/11/2023,48,55,61,40,66
6283,04/11/2023,10,73,57,9,7
6282,03/11/2023,10,76,21,15,26
6281,01/11/2023,77,41,53,6,74
6280,31/10/2023,6,22,58,64,77
6279,30/10/2023,6,69,22,62,64
6278,28/10/2023,29,66,77,33,59
6277,27/10/2023,47,26,79,42,22
6276,26/10/2023,30,1,62,69,14
6275,25/10/2023,2,44,21,51,36
6274,24/10/2023,29,45,60,53,37
6273,23/10/2023,78,67,52,53,48
6272,21/10/2023,27,3,43,35,2
6271,20/10/2023,2,74,59,52,43
6270,19/10/2023,26,54,51,5,24
6269,18/10/2023,35,55,77,11,46
6268,17/10/2023,35,20,59,31,71
6267,16/10/2023,34,26,36,27,60
6266,14/10/2023,16,68,64,77,38
6265,13/10/2023,71,44,77,52,63
6264,11/10/2023,61,69,10,52,40
6263,10/10/2023,52,3,14,23,25
6262,09/10/2023,69,56,51,29,76
6261,07/10/2023,15,45,58,47,59
6260,06/10/2023,67,40,39,48,56
6259,05/10/2023,8,39,26,13,4
6258,04/10/2023,37,66,61,77,42
6257,03/10/2023,71,42,80,31,45
6256,02/10/2023,53,29,60,26,40
6255,30/09/2023,20,43,42,60,47
6254,29/09/2023,71,60,64,73,16
6253,28/09/2023,16,40,45,14,51
6252,27/09/2023,8,30,61,55,3
6251,26/09/2023,36,76,5,55,69
6250,25/09/2023,45,77,53,1,78
6249,23/09/2023,47,39,2,62,50
6248,22/09/2023,20,64,12,16,8
6247,21/09/2023,17,24,8,43,12
6246,20/09/2023,49,57,48,71,35
6245,19/09/2023,37,55,57,48,34
6244,18/09/2023,40,18,1,76,9
6243,16/09/2023,3,63,74,24,37
6242,15/09/2023,8,29,40,74,46
6241,14/09/2023,21,33,71,7,27
6240,13/09/2023,16,11,61,62,37
6239,12/09/2023,47,10,6,2,26
6238,11/09/2023,39,6,31,59,20
6237,09/09/2023,8,45,66,51,34
6236,08/09/2023,44,14,19,57,59
6235,06/09/2023,9,54,57,52,69
6234,05/09/2023,69,48,23,57,19
6233,04/09/2023,31,59,43,5,45
6232,02/09/2023,40,77,6,4,62
6231,01/09/2023,40,62,70,23,22
6230,31/08/2023,70,19,55,51,72
6229,30/08/2023,5,6,55,28,39
6228,29/08/2023,13,21,79,24,60
