Modalidade,Dezenas,Concursos,Apostas
Lotomania,50,16433018,1
Lotofacil,15,4158865,1
Lotofacil,15,941307,1
Lotofacil,15,411509,1
Lotofacil,15,1015409,1
Lotofacil,15,1623579,1
Lotofacil,15,886935,1
Lotofacil,15,2847075,1
Lotofacil,15,2325380,1
Lotofacil,15,2906681,1
Lotofacil,15,3161991,1
Lotofacil,15,970378,1
Lotofacil,15,2011135,1
Lotofacil,15,10135081,1
Lotofacil,15,411509,1
Lotofacil,15,1015409,1
Lotofacil,15,1623579,1
Lotofacil,15,886935,1
Lotofacil,15,2847075,1
Lotofacil,15,2325380,1
Lotofacil,15,2906681,1
Lotofacil,15,3161991,1
Lotofacil,15,970378,1
Lotofacil,15,2011135,1
Lotofacil,15,10135081,1
Supersete,10,388292,1
Supersete,10,171783,1
Supersete,10,1904175,1
Supersete,10,2486302,1
Supersete,10,2552334,1
Supersete,10,684449,1
Supersete,10,731046,1
Supersete,10,35519,1
Supersete,10,100102,1
Supersete,10,866114,1
Diadesorte,7,593325,1
Diadesorte,7,2920762,1
Diadesorte,7,678201,1
Diadesorte,7,1678997,1
Diadesorte,7,7413124,1
Diadesorte,7,2021586,1
Diadesorte,7,2439984,1
Diadesorte,7,166584,1
Diadesorte,7,189662,1
Diadesorte,7,2976140,1
Diadesorte,7,10831616,1
Diadesorte,7,989208,1
Diadesorte,7,1783774,1
Diadesorte,7,3560278,1
Diadesorte,7,473670,1
Diadesorte,7,1034222,1
Diadesorte,7,1991592,1
Diadesorte,7,2310440,1
Diadesorte,7,450265,1
Diadesorte,7,55618,1
Diadesorte,7,449845,1
Diadesorte,7,2210528,1
Diadesorte,7,1235703,1
Diadesorte,7,2808584,1
Diadesorte,7,193383,1
Diadesorte,7,348433,1
Diadesorte,7,1064829,1
Diadesorte,7,1082080,1
Diadesorte,7,2161093,1
Diadesorte,7,2745466,1
Diadesorte,7,967997,1
Diadesorte,7,2374152,1
Diadesorte,7,661403,1
Diadesorte,7,6035506,1
Diadesorte,7,701176,1
Diadesorte,7,2987033,1
Diadesorte,7,5387066,1
Diadesorte,7,366334,1
Diadesorte,7,1522373,1
Diadesorte,7,9204882,1
Diadesorte,7,638880,1
Diadesorte,7,6151535,1
Diadesorte,7,2434437,1
Diadesorte,7,2404338,1
Diadesorte,7,542599,1
Diadesorte,7,1564469,1
Diadesorte,7,536589,1
Diadesorte,7,4323306,1
Diadesorte,7,445048,1
Diadesorte,7,1896367,1
Diadesorte,7,4188278,1
Diadesorte,7,327788,1
Diadesorte,7,394053,1
Diadesorte,7,1928244,1
Diadesorte,7,6775578,1
Diadesorte,7,2216994,1
Diadesorte,7,5158439,1
Diadesorte,7,7392478,1
Diadesorte,7,2138760,1
Diadesorte,7,5082301,1
Diadesorte,7,1138447,1
Diadesorte,7,113958,1
Diadesorte,7,2441515,1
Diadesorte,7,290796,1
Diadesorte,7,46172,1
Diadesorte,7,1017741,1
Diadesorte,7,6269582,1
Diadesorte,7,1744152,1
Diadesorte,7,4331662,1
Diadesorte,7,293958,1
Diadesorte,7,525733,1
Diadesorte,7,9252868,1
Diadesorte,7,3842180,1
Diadesorte,7,168771,1
Diadesorte,7,625480,1
Diadesorte,7,3264722,1
Diadesorte,7,2418372,1
Diadesorte,7,582982,1
Diadesorte,7,2164226,1
Diadesorte,7,896120,1
Diadesorte,7,6753164,1
Diadesorte,7,1122662,1
Diadesorte,7,2939613,1
Diadesorte,7,436098,1
Diadesorte,7,1514782,1
Diadesorte,7,2487465,1
Diadesorte,7,4899270,1
Diadesorte,7,967536,1
Diadesorte,7,5040178,1
Diadesorte,7,3153205,1
Diadesorte,7,657712,1
Diadesorte,7,1206087,1
Diadesorte,7,3238982,1
Diadesorte,7,574496,1
Diadesorte,7,2623835,1
Diadesorte,7,29647,1
Diadesorte,7,2755769,1
Diadesorte,7,2123607,1
Diadesorte,7,1073514,1
Diadesorte,7,851522,1
Megasena,7,188545,4
Megasena,7,1669698,4
Megasena,7,170576,4
Megasena,7,76398,4
Megasena,7,96317,4
Megasena,7,2306767,4
Megasena,7,210725,4
Megasena,7,121392,4
Megasena,7,1589665,4
Megasena,7,2417807,4
Megasena,7,1465447,4
Megasena,7,746964,4
Megasena,7,2341814,4
Megasena,7,33179,4
Megasena,7,743893,4
Megasena,7,2929575,4
Megasena,7,256578,4
Megasena,7,451802,4
Megasena,7,431884,4
Megasena,7,190892,4
Megasena,7,319606,4
Megasena,7,2493559,4
Megasena,7,500222,4
Megasena,7,2872343,4
Megasena,7,2817988,4
Megasena,7,4542077,4
Megasena,7,1700825,4
Megasena,7,570567,4
Megasena,7,2200804,4
Megasena,7,1195528,4
Megasena,7,2004689,4
Megasena,7,2127161,4
Megasena,7,2180053,4
Megasena,7,2362539,4
Megasena,7,201655,4
Megasena,7,1408849,4
Megasena,7,56834,4
Megasena,7,1839153,4
Megasena,7,854297,4
Megasena,7,1474031,4
Megasena,7,3120618,4
Megasena,7,639982,4
Megasena,7,988465,4
Megasena,7,987849,4
